#{"t_start": 1721369597.867865, "env_id": null}
r,l,t,d
313.507965,409,1653.98215,0.8929651308142388
-9353.295237,861,1663.557906,2.3556525936027795
-1001.241074,1,1663.566907,13.502255265906633
-171.221532,611,1671.203884,1.29570868040414
-1815.595156,590,1678.269665,4.717275137787123
-254.019846,656,1686.541008,0.7498729038845763
-5314.4672,803,1696.801089,0.7992192677902417
-6434.248884,525,1703.548063,10.495031224191049
-1823.730611,514,1710.100566,5.73400366835218
-4974.46226,1377,1724.133178,74.32723638615668
-1469.350893,628,1731.782192,0.5725846457720182
118.247992,457,1735.664991,2.254818782426832
202.797754,534,1739.309879,0.3523389612513129
-4516.919,801,1745.343701,0.40826044922741717
-1445.113019,858,1751.867207,0.3238258516086935
-4339.386616,805,1757.300417,0.9883142322025761
75.53758,512,1761.190162,3.3115298549748435
-2270.075112,883,1767.294465,3.1023823695155466
450.630115,429,1770.566852,0.3608578543548622
-3346.934558,892,1778.388827,0.5034190846206933
-1769.756725,362,1782.674114,12.57900695488585
143.943218,492,1788.360851,0.4844665855451714
-681.503033,744,1797.593008,0.6174847311575439
-8287.165926,1906,1821.812838,4.833868127431009
-1264.090952,209,1824.419911,6.267838185271801
-6028.135005,874,1835.364148,0.4387500873549067
-1009.437829,8,1835.47016,6.253280474071009
-7775.061179,1413,1853.078594,0.4572828103432923
-219.971117,601,1860.331102,0.42506431399368594
-129.87914,502,1866.711484,0.47077256985773414
606.366496,246,1869.867218,0.41981934772044144
-5811.650307,812,1880.302229,0.6535411896289149
302.452637,531,1887.047368,0.5825744587964095
-829.513823,706,1895.981469,0.41547437407682986
-2479.895049,1009,1908.738119,7.731721977790048
436.210476,264,1912.019274,0.4099426191419324
-2921.740295,743,1920.73105,0.48085782610172845
-12549.538712,924,1932.302427,1.1276192217507661
-7.643238,536,1939.013379,1.4770212568134586
-5250.615882,825,1949.557842,0.43635072561905786
-1225.467531,273,1953.06213,5.92272627061614
180.533184,536,1959.869407,0.7923529543329064
-3727.429567,718,1968.864724,0.38794821390373413
-4228.782412,742,1977.51581,0.6989139355013125
-2683.612893,1524,1996.78788,3.7576913312212175
-6605.146229,834,2007.457262,0.6394860749714153
-5436.874505,805,2017.331423,1.6260772258440999
-1341.964943,102,2018.602023,11.044182088799728
-4692.151051,744,2027.978969,0.4275491027828196
-962.178535,820,2038.333449,0.923356613513918
-1053.909759,17,2038.556471,15.06075138445558
-8064.309173,580,2045.838415,7.682783856101026
-376.591487,655,2053.651469,0.4756187522024372
-10144.461956,914,2064.75609,0.5840534208357085
-2323.427272,1740,2086.610176,0.32342454731910103
-1470.240188,230,2089.521262,17.592180011323975
-1288.232834,182,2091.794616,7.553998497249131
-8899.188727,870,2101.454384,0.908212024753155
-1211.838399,175,2102.810668,1.5338253168524734
-1438.938776,946,2113.281721,0.40823391029528133
-4535.894619,906,2124.850536,0.46066684613495157
-2003.938631,529,2131.55492,12.189380435313577
-148.505418,568,2138.24231,0.3938655530682271
205.955572,513,2144.741149,0.4887786445575081
-7670.378484,877,2155.217474,0.5400062659929122
-87.543485,663,2163.687349,0.3328305140272583
782.322721,246,2166.768643,0.4928830099063255
-286.75498,642,2174.932598,2.7803100588228564
-1319.286715,142,2176.751278,10.917971327680549
371.336356,409,2181.956866,0.5872513829145398
-8990.97601,894,2193.26274,0.47340581066987575
180.514022,481,2199.448637,0.28890592450786645
212.583292,414,2204.572758,0.5204221002018359
-650.157372,963,2216.94015,1.081030727465526
154.674149,471,2222.841805,0.45553364739206265
-2919.18166,603,2230.384368,0.3662987636114634
12.714338,581,2237.50337,0.7504369259515662
-390.996253,683,2246.039747,0.5004320128113098
-6831.772383,1271,2261.720844,0.6101693690839206
-191.958835,614,2269.339464,0.5651617629151897
-480.28439,685,2277.12264,0.3138610431170385
-2386.667033,721,2286.143742,0.4537368265348591
141.519744,568,2293.25545,5.133695803184333
-2010.57898,688,2301.692476,0.3601279884180881
-1604.040685,352,2306.127847,11.076895810539952
-65.603205,613,2313.152802,0.5037182720808793
-1893.214233,212,2315.118526,21.577187782657354
-6500.016494,860,2325.738545,0.5757079079094993
-8696.642263,733,2334.876864,5.967494419947369
267.508279,561,2341.912372,5.272959599865147
-616.261908,790,2351.818615,0.39102195211349977
-918.585366,747,2361.315284,1.409192464799317
-1464.087363,546,2368.20056,2.0357066922406593
-8076.292554,1532,2387.203073,10.899136151431346
-4279.576696,733,2396.510744,0.4983332686428527
-796.580117,698,2405.146871,0.4055419115780165
-4682.649564,747,2414.491748,0.47890524177895744
-2155.991502,950,2426.550884,2.5672636859822804
-10420.944675,897,2437.56775,0.35887290088692675
-28.80385,667,2445.937936,0.3962130309057281
-4543.361694,717,2454.42884,2.595728443777266
-1063.716163,29,2454.798867,16.83006236188541
-2051.980309,1659,2475.892061,0.31953591258252523
-1563.13629,356,2480.421755,8.606997295816504
426.304268,337,2483.893878,0.71746346217977
-176.305833,663,2492.177603,0.5037206725750328
-8078.805924,851,2502.914621,0.47093129524963967
165.852171,581,2510.324723,0.3564469734708587
-3452.154444,768,2519.396289,0.45560976544559917
-3230.608801,763,2529.035413,0.5916951762186639
-34.186652,650,2537.21604,0.6815673821482422
-1457.751319,441,2542.704376,2.0695079747988436
-6721.952081,844,2553.495758,0.3506022513372569
-900.441866,759,2563.233045,0.5366268350817796
