#{"t_start": 1730106924.3697333, "env_id": null}
r,l,t,d
-14837.085998,736,2276.335655,6.904715431167036
-10552.258922,326,2278.605852,8.934731924093184
-15900.087313,747,2283.847999,6.561209912838021
-14943.05624,739,2289.05577,7.091784064603383
-10889.070407,335,2291.4092,8.97589002136015
-10674.400708,330,2293.743139,8.927081268789594
-14279.59039,720,2298.824684,6.833528365682827
-11413.038665,342,2301.237669,9.055336059938575
-11297.005242,339,2303.62605,9.066965850061802
-11503.756515,342,2306.03866,9.040548361602163
-14256.712,721,2311.082088,6.7373815522553615
-14920.974912,727,2316.188683,6.745545915367042
-10659.722298,329,2318.504951,8.98176025566968
-10905.189837,335,2320.850601,8.982995406799306
-14482.030909,724,2325.946331,6.990096328609273
-14588.765152,730,2331.075316,6.954195110106475
-14357.199701,715,2336.110471,6.968655821286603
-14095.288424,716,2341.144777,7.15686197141139
-15549.530541,739,2346.354542,6.721952632157354
-10364.249588,325,2348.628645,8.862406812991324
-14558.317045,727,2354.180414,6.969173227707641
-16721.558917,1038,2361.830524,4.6767843895633545
-15137.844992,1049,2369.793733,4.773771335057695
-15750.174462,1053,2377.559348,4.679549334351694
-14663.683718,733,2382.724815,6.602432996910648
-10535.556924,327,2385.344329,8.904214818054966
-15774.164928,1053,2393.018648,4.688017142674853
-17529.127252,1479,2403.847935,1.6837656258609301
-11113.054256,335,2406.293531,9.052943823810406
-16240.554804,1273,2415.518605,4.653193790833249
-15135.423073,1047,2423.179116,4.793216867827044
-15163.156952,1013,2430.35948,4.617920422843385
-10693.416051,330,2432.729223,8.954667838492373
-15080.063632,1025,2439.950232,4.7124193504286325
-16360.572018,1057,2447.672161,4.591483961314527
-16543.364193,1476,2458.191911,1.3960901323161903
-14038.471417,731,2463.537438,5.697956435541689
-10219.535593,321,2465.847859,8.78225582993714
-10140.984918,314,2468.072853,8.911724107252903
-10154.46131,317,2470.30251,8.852684409562947
-15729.649702,1159,2478.468358,1.880575437317633
-14674.877994,781,2483.994992,5.666346996639144
-14921.500128,748,2489.366595,6.099383696158274
-17448.944828,1334,2499.092954,3.938651341573711
-10430.202963,323,2501.447285,8.94037890923125
-20918.643472,1975,2515.469817,4.174221008906931
-10484.906382,320,2517.743533,9.001456799684533
-36600.571303,5001,2552.953621,4.322221197863699
-16116.238137,750,2558.223668,6.696532683616605
-10538.926503,322,2560.508929,9.000747820452418
-14175.883607,715,2565.517631,6.931447617398975
-11291.871747,335,2567.883481,9.086904040676027
-10946.653372,329,2570.187641,9.061852583317387
-11234.103817,333,2572.544585,9.059528611927297
-14350.069235,719,2577.62781,6.839137530496249
-15335.901048,744,2582.879071,6.752738806520497
-10123.402529,319,2585.113318,8.774164974598843
-14385.343231,720,2590.183848,6.86797700402834
-10073.523312,317,2592.427027,8.77257407747219
-14360.792438,720,2597.543158,6.857046010711866
-14658.211024,732,2602.712895,6.973534807887136
-14639.377034,730,2607.8624,6.9184079661947875
-10655.892421,321,2610.130291,9.044992009472605
-10532.497698,322,2612.385388,9.011788144252355
-14690.231224,732,2617.570008,6.808911915004084
-10100.524131,315,2619.785268,8.847364570237593
-15433.236794,737,2624.9848,6.666094266426762
-14280.347563,715,2630.034711,6.998223916474222
-14067.104096,713,2635.008145,6.928787095993702
-14364.426958,718,2640.055526,6.961319130847886
-14169.105964,711,2645.065507,6.949414597692783
-15704.366275,741,2650.297133,6.703570873606068
-15048.861995,728,2655.429008,6.725299105450727
-15508.566139,742,2660.660064,6.803499668811779
-14675.038154,728,2665.808119,6.8153021028338845
-14380.384966,721,2670.875082,6.91251832219102
-10600.69452,323,2673.331379,9.004176545857113
-10209.903523,319,2675.674551,8.826218298936412
-14464.881524,723,2680.805584,6.8821875140824655
-10183.232302,317,2683.076041,8.8435779468353
-14640.621006,723,2688.226173,6.743868333043192
-16154.381066,752,2693.510646,6.651005324797077
-14470.65977,725,2698.598912,7.026563918546986
-14256.294672,716,2703.653058,6.935786927997593
-14858.745067,723,2708.755961,6.708966171606922
-10624.710205,334,2711.106904,8.800437612192278
-14379.272377,724,2716.380228,7.02385419693781
-14111.282395,713,2721.437644,6.904811322545033
-14255.000107,718,2726.479645,6.887414178155727
-10265.535057,315,2728.725416,8.931119990697146
-10147.272425,316,2730.950392,8.881138207196512
-14826.3438,862,2737.06285,8.304589930132469
-14629.026297,732,2742.185651,6.4820768387356225
-14403.377138,729,2747.323261,6.541605664532924
-14793.730564,732,2752.458664,6.491121288781857
-10293.266482,322,2754.709238,8.825138104871595
-10854.206889,327,2757.041415,9.037422135790075
-14822.015331,838,2762.937293,7.73287473875715
-16713.388885,1216,2771.78298,2.9676903219640445
-9963.171374,309,2774.082927,8.873471830712457
-16357.210901,835,2780.106892,5.283637709048815
-11038.657903,332,2782.414068,9.058013955226922
-17031.800537,1205,2790.885462,2.809147650223956
-22234.890507,2541,2808.75152,2.8158572326216635
-10990.676961,330,2811.062916,9.050873858895056
-16942.180157,1167,2819.26121,2.7558514530002274
-10132.871365,312,2821.460289,8.942067831053876
-16435.076026,1309,2830.672791,2.752540402971423
-10301.82299,325,2832.934321,8.762890745170598
-10507.541641,322,2835.190259,8.96220735850967
-15376.968199,1126,2843.098179,2.6039988548628057
-16665.620609,1210,2851.596155,2.906668291846974
-16299.202508,1304,2860.772547,2.9158351497742214
-16764.987368,1171,2869.020077,2.669878089082866
-16158.89837,1261,2877.894643,2.667791086146579
-10469.116339,318,2880.109613,9.0182080694424
-10041.34812,317,2882.33436,8.731717098389115
-15933.291197,1276,2891.35201,2.660377050323474
-17304.504451,1622,2902.724941,2.5666267981372077
-15010.482483,1165,2910.831647,2.395465466586638
-16048.920885,1155,2918.922263,2.7404669109804107
-18193.895183,1752,2931.240349,2.350005683573865
-17230.406728,1376,2940.909048,5.010760569261613
-10933.307088,325,2943.185282,9.063927273653082
-16555.015733,1415,2953.113769,2.6787310284291466
-10869.272307,327,2955.425249,9.050214941261745
-10297.899433,314,2957.607383,8.983666544128413
-9947.206451,311,2959.770164,8.826964536856837
-34978.647743,5001,2995.152442,2.8509174890580793
-16680.144764,1299,3004.294953,2.527138619684883
-10289.052525,317,3006.525874,8.967463578315776
-10469.954049,321,3008.751751,9.00764729966747
-10007.826685,312,3010.942779,8.895485303812787
-32574.296015,5001,3046.156939,2.1382158284147494
-10133.458,321,3048.401224,8.756058325527368
-18470.682077,1772,3060.863522,1.2380738065941699
-31798.877591,4524,3092.649728,1.5681687810942748
-10199.637354,322,3094.946759,8.765838720812473
-27102.49507,3102,3116.747423,1.152909020307718
-15723.770896,1324,3126.029849,1.333001806331677
-10516.261496,319,3128.255807,9.027579723343697
-10111.016744,313,3130.462692,8.930618888255783
-10932.855421,329,3132.774812,9.078936699149159
-15470.722431,762,3138.164451,5.66403636756181
-13999.220069,738,3143.354622,6.0122245068916405
-18089.017547,1740,3155.590218,1.6482771619756083
-10076.709536,321,3157.830019,8.74996477287187
-10075.63228,309,3160.023465,8.979522962847406
-18444.41442,1982,3173.899297,1.9376144690749162
-9947.414504,308,3176.047137,8.923604230481473
-10948.077624,329,3178.337787,9.095050397938557
-10686.640075,323,3180.610755,9.056630461401786
-10809.764808,323,3182.858634,9.084627617997162
-10505.539626,317,3185.091537,9.041203943332956
-11116.753948,337,3187.475941,9.10905462170025
-15525.015219,695,3192.312551,6.053397359713426
-19469.468376,2174,3207.633634,3.889633897078068
-17315.742351,1228,3216.255719,3.218111385132242
-10242.939342,315,3218.44934,8.98065561005964
-10289.997389,324,3220.742815,8.841040996905598
-18454.473756,1618,3232.077421,1.5383506450668618
-10419.573772,334,3234.419233,8.782728453069389
-9853.224593,307,3236.58328,8.896526440910623
-10889.780799,327,3238.87113,9.123416223661566
-16487.261991,1422,3248.849994,1.9701894135928446
-17577.324995,1529,3259.560059,1.786375964853785
-17057.063764,1407,3269.467973,1.9677529078738982
-13600.796769,681,3274.283781,5.847735883763621
-9981.625096,320,3276.545639,8.78756358313318
-9915.74627,311,3278.739823,8.859403748944203
-16826.876363,1453,3288.940298,1.9084368671175043
-10383.829711,333,3291.290121,8.823975410349398
-9971.465624,310,3293.450031,8.914787325385253
-10985.411189,327,3295.747481,9.088079415728183
-21154.598609,2215,3311.326605,1.7321898980595176
-10414.750594,316,3313.569892,9.07839467916733
-19308.638341,1789,3326.169433,1.4856347260052103
-10006.689975,318,3328.403281,8.838074342667255
-23338.355227,2056,3342.874276,1.4347726172320672
-19484.080473,1626,3355.168536,3.470481226921592
-10111.172058,310,3357.472924,8.996736192601691
